city,date,player_of_match,venue,team1,team2,winner,result,result_margin
Centurion,12-05-2009,Harbhajan Singh,SuperSport Park,Kings XI Punjab,Mumbai Indians,Mumbai Indians,wickets,8
Durban,13-05-2009,R Bhatia,Kingsmead,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,runs,12
Durban,14-05-2009,LRPL Taylor,Kingsmead,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,wickets,2
Durban,14-05-2009,SK Warne,Kingsmead,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,runs,2
Bloemfontein,15-05-2009,B Lee,OUTsurance Oval,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,wickets,6
Port Elizabeth,16-05-2009,ML Hayden,St George's Park,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,wickets,7
Johannesburg,16-05-2009,RG Sharma,New Wanderers Stadium,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,wickets,6
Johannesburg,17-05-2009,Yuvraj Singh,New Wanderers Stadium,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,runs,1
Bloemfontein,17-05-2009,AB de Villiers,OUTsurance Oval,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,runs,14
Centurion,18-05-2009,BJ Hodge,SuperSport Park,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,wickets,7
Johannesburg,19-05-2009,JH Kallis,New Wanderers Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,wickets,7
Durban,20-05-2009,LR Shukla,Kingsmead,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,wickets,4
Durban,20-05-2009,M Muralitharan,Kingsmead,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,runs,24
Centurion,21-05-2009,V Sehwag,SuperSport Park,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,wickets,4
Centurion,21-05-2009,MK Pandey,SuperSport Park,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,runs,12
Centurion,22-05-2009,AC Gilchrist,SuperSport Park,Delhi Daredevils,Deccan Chargers,Deccan Chargers,wickets,6
Johannesburg,23-05-2009,MK Pandey,New Wanderers Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,wickets,6
Johannesburg,24-05-2009,A Kumble,New Wanderers Stadium,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,runs,6
Mumbai,12-03-2010,AD Mathews,Dr DY Patil Sports Academy,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,runs,11
Mumbai,13-03-2010,YK Pathan,Brabourne Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,runs,4
Chandigarh,13-03-2010,G Gambhir,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,wickets,5
Kolkata,14-03-2010,MK Tiwary,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,wickets,7
Chennai,14-03-2010,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,Deccan Chargers,runs,31
Ahmedabad,15-03-2010,V Sehwag,"Sardar Patel Stadium, Motera",Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,wickets,6
Bangalore,16-03-2010,JH Kallis,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,wickets,8
Kolkata,16-03-2010,MS Dhoni,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,runs,55
Delhi,17-03-2010,SR Tendulkar,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Mumbai Indians,runs,98
Bangalore,18-03-2010,JH Kallis,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,wickets,10
Delhi,19-03-2010,ML Hayden,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,wickets,5
